"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"1049","Nick Blankenburg","CBJ, NSH","D","108","110.08333333333","1","9","4","5","10","52.63","11","9.09","0.96","25","18","5","1","0","2","6","3","3","0","0","3","1","3","6","1","1","0","0","-"
"38","Phil Kessel","VGK","C, R","82","118.93333333333","2","7","3","4","9","75.00","29","6.90","2.56","46","34","24","3","0","3","4","2","2","0","0","0","4","1","1","0","0","0","0","-"
"101","Evander Kane","EDM","L","118","168.61666666667","2","7","5","2","9","42.86","33","6.06","5.87","70","49","43","22","1","10","22","7","6","0","1","2","5","3","4","12","0","3","8","27.27"
"272","Andreas Athanasiou","CHI","C","117","184.98333333333","3","6","2","4","9","60.00","31","9.68","4.36","68","48","29","10","0","3","6","3","3","0","0","1","9","4","4","8","1","14","12","53.85"
"310","Andrew Copp","DET","C","217","228.05","2","7","5","2","9","50.00","23","8.70","5.61","45","37","36","22","0","4","2","1","1","0","0","0","9","2","1","9","0","102","71","58.96"
"337","Darnell Nurse","EDM","D","239","239.25","1","8","3","5","9","64.29","36","2.78","3.02","79","52","22","5","0","2","2","1","1","0","0","0","5","4","3","1","2","0","0","-"
"372","Sonny Milano","WSH","L","116","97","4","5","3","2","9","81.82","11","36.36","2.26","16","15","13","13","0","0","2","1","1","0","0","1","4","0","1","10","0","0","0","-"
"464","Anthony Beauvillier","CHI, NSH, NYI, PIT, VAN, WSH","L","223","239.5","5","4","3","1","9","45.00","44","11.36","6.28","75","60","52","18","2","7","4","2","2","0","0","0","8","1","2","9","0","2","6","25.00"
"518","Luke Kunin","CBJ, S.J","C","183","165.33333333333","4","5","5","0","9","69.23","22","18.18","4.6","40","35","32","19","0","8","6","3","3","0","0","1","1","3","0","6","1","25","33","43.10"
"715","Joe Veleno","CHI, DET","C","235","106.46666666667","4","5","2","3","9","56.25","17","23.53","3.73","22","21","19","15","1","0","0","0","0","0","0","0","1","1","4","7","1","40","35","53.33"
"787","Egor Zamula","PHI","D","143","142.61666666667","2","7","4","3","9","75.00","9","22.22","0.43","36","12","13","0","1","4","2","1","1","0","0","0","2","4","1","1","1","0","0","-"
"802","Bowen Byram","BUF, COL","D","197","231.55","2","7","1","6","9","52.94","25","8.00","2.82","43","31","22","5","0","3","6","3","3","0","0","1","7","4","3","15","2","0","0","-"
"814","Cam York","PHI","D","202","275.6","0","9","5","4","9","60.00","35","0.00","2.84","68","48","21","2","0","8","4","2","2","0","0","1","1","7","5","2","1","0","0","-"
"816","Bobby Brink","PHI","R","136","283.13333333333","5","4","0","4","9","47.37","39","12.82","6.56","92","63","53","20","0","6","8","4","4","0","0","1","8","0","3","14","1","1","7","12.50"
"911","Jamie Drysdale","ANA, PHI","D","112","239.8","3","6","1","5","9","45.00","27","11.11","1.84","69","41","18","2","0","7","6","3","3","0","0","2","3","2","1","3","4","0","0","-"
"945","Yegor Chinakhov","CBJ","R","113","196.55","4","5","4","1","9","45.00","33","12.12","4.02","89","61","23","5","0","4","6","3","3","0","0","0","2","2","1","4","1","0","2","0.00"
"30","Kyle Okposo","BUF, FLA","R","142","144.83333333333","3","5","2","3","8","57.14","21","14.29","3.66","32","28","24","17","0","4","2","1","1","0","0","0","3","2","1","2","0","27","26","50.94"
"112","Tomas Tatar","COL, N.J, SEA","L","226","243.31666666667","2","6","3","3","8","30.77","37","5.41","7.75","58","47","45","27","0","10","6","3","3","0","0","0","11","3","9","9","1","6","11","35.29"
"148","Nick Bjugstad","ARI, EDM, UTA","C","220","215.33333333333","4","4","1","3","8","44.44","36","11.11","7.69","60","56","52","31","0","8","6","3","3","0","0","0","4","0","4","12","0","68","68","50.00"
"190","Blake Coleman","CGY","C, L","242","204.43333333333","7","1","1","0","8","50.00","45","15.56","8.37","74","63","47","31","0","10","6","3","3","0","0","1","8","2","8","9","1","4","6","40.00"
"338","Rasmus Ristolainen","PHI","D","168","144.03333333333","1","7","3","4","8","61.54","14","7.14","1.98","39","27","11","4","0","3","0","0","0","0","0","0","3","7","4","3","5","0","0","-"
"370","Jakub Vrana","DET, NSH, STL, WSH","L","85","117.05","8","0","0","0","8","80.00","39","20.51","3.99","60","49","27","8","0","0","2","1","1","0","0","0","0","1","1","3","0","2","3","40.00"
"373","Travis Sanheim","PHI","D","244","224.55","0","8","4","4","8","40.00","28","0.00","2.45","65","42","21","3","1","9","8","4","4","0","0","0","4","2","4","7","3","0","0","-"
"396","Michael Amadio","OTT, VGK","C, R","212","139.56666666667","5","3","1","2","8","44.44","28","17.86","3.78","46","34","27","10","0","4","2","1","1","0","0","0","4","1","2","8","0","3","2","60.00"
"405","Gustav Forsling","FLA","D","241","178.5","2","6","3","3","8","57.14","31","6.45","2.38","69","44","15","1","0","5","2","1","1","0","0","0","5","4","1","2","3","0","0","-"
"612","Kailer Yamamoto","EDM, SEA, UTA","R","129","171.88333333333","3","5","3","2","8","33.33","20","15.00","4.87","40","32","39","30","0","3","6","3","3","0","0","0","1","0","1","13","1","10","6","62.50"
"669","Eetu Luostarinen","FLA","C","244","171.95","4","4","1","3","8","47.06","26","15.38","5.55","42","38","38","23","0","5","4","2","2","0","0","0","2","1","3","11","0","13","15","46.43"
"999","Ryker Evans","SEA","D","109","123.45","1","7","5","2","8","72.73","11","9.09","1.17","25","19","5","2","0","1","0","0","0","0","0","0","2","1","3","7","2","0","0","-"
"88","Cameron Atkinson","PHI, T.B","R","109","171.71666666667","3","4","1","3","7","46.67","26","11.54","4.12","45","33","28","14","0","7","4","2","2","0","0","0","4","0","3","4","1","4","3","57.14"
"96","Alex Chiasson","DET","R","20","52.833333333333","5","2","2","0","7","70.00","12","41.67","2.25","15","14","15","11","0","0","2","1","1","0","0","0","1","1","1","2","0","0","1","0.00"
"136","Calle Jarnkrok","TOR","C","144","156.71666666667","4","3","2","1","7","50.00","26","15.38","4.59","45","35","31","19","0","2","2","1","1","0","0","0","2","0","2","12","1","7","14","33.33"
"228","Yanni Gourde","SEA, T.B","C","218","129.06666666667","3","4","2","2","7","50.00","17","17.65","4.41","30","27","24","14","0","6","4","2","2","0","0","0","1","2","4","3","0","64","37","63.37"
"263","Damon Severson","CBJ, N.J","D","218","222.13333333333","1","6","1","5","7","50.00","18","5.56","2.64","53","25","15","5","0","8","8","4","4","0","0","0","6","0","4","2","0","0","0","-"
"352","Conor Sheary","T.B, WSH","L","144","104.58333333333","2","5","2","3","7","58.33","11","18.18","2.42","18","16","15","7","0","2","0","0","0","0","0","0","4","2","3","6","1","5","9","35.71"
"596","Justin Brazeau","BOS, MIN","R","95","102.3","6","1","1","0","7","77.78","22","27.27","4.43","28","28","26","24","0","5","12","2","1","0","1","0","6","2","0","1","0","1","1","50.00"
"759","Declan Chisholm","MIN, WPG","D","97","113.58333333333","3","4","2","2","7","46.67","15","20.00","1.11","27","21","6","2","0","2","0","0","0","0","0","0","5","3","0","1","1","0","0","-"
"902","Lukas Reichel","CHI","L","158","232.66666666667","2","5","3","2","7","46.67","28","7.14","4.66","52","38","32","16","0","3","0","0","0","0","0","0","11","3","1","11","1","27","27","50.00"
"909","Thomas Bordeleau","S.J","C","36","93.283333333333","4","3","1","2","7","46.67","11","36.36","1.92","21","17","17","7","0","4","2","1","1","0","0","0","1","2","1","5","0","27","24","52.94"
"919","Alex Laferriere","L.A","R","158","180.35","2","5","4","1","7","38.89","35","5.71","5.89","62","49","41","23","0","6","0","0","0","0","0","0","5","1","5","12","0","1","2","33.33"
"939","Bobby McMann","TOR","C","140","119.65","4","3","0","3","7","58.33","18","22.22","2.88","29","22","24","15","0","4","2","1","1","0","0","2","4","1","3","7","0","1","5","16.67"
"971","Cole Sillinger","CBJ","C","207","209.13333333333","5","2","2","0","7","33.33","40","12.50","6.63","55","48","43","25","1","5","4","2","2","0","0","0","3","1","3","7","0","53","60","46.90"
"994","Olen Zellweger","ANA","D","88","195.3","1","6","3","3","7","58.33","31","3.23","2.46","74","47","20","2","0","8","4","2","2","0","0","0","6","4","1","4","5","0","0","-"
"996","Jackson Blake","CAR","R","81","170.81666666667","5","2","2","0","7","36.84","39","12.82","7.6","53","48","50","28","0","7","4","2","2","0","0","1","9","1","0","11","2","0","0","-"
"1023","Kevin Korchinski","CHI","D","92","149.5","0","7","2","5","7","70.00","5","0.00","0.3","16","7","7","0","0","2","2","1","1","0","0","0","7","3","0","3","3","0","0","-"
