"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"195","Vincent Trocheck","NYR","C","246","5073.3","73","127","81","46","200","56.66","642","11.37","94.39","1236","1012","835","404","27","117","157","71","66","5","0","73","195","138","570","331","203","2512","1808","58.15"
"773","Rasmus Dahlin","BUF","D","232","5840.4833333333","52","148","86","62","200","52.49","639","8.14","41.77","1285","870","416","83","31","104","212","98","96","0","2","73","210","126","400","458","371","0","0","-"
"110","Nazem Kadri","CGY","C","246","4509.1333333333","88","110","64","46","198","71.48","823","10.69","88.86","1561","1167","837","323","52","122","171","63","56","3","4","119","180","120","211","409","82","1857","2051","47.52"
"320","Carter Verhaeghe","FLA","C","238","4230.2166666667","96","102","56","46","198","64.92","763","12.58","89.08","1451","1040","837","327","31","132","128","64","64","0","0","53","176","97","187","351","69","73","96","43.20"
"947","Lucas Raymond","DET","L","238","4281.8166666667","75","122","64","58","197","68.88","489","15.34","60.16","938","684","565","225","34","92","72","34","34","0","0","88","132","109","154","343","79","10","25","28.57"
"714","Drake Batherson","OTT","R","246","4503.6","76","120","81","39","196","68.06","637","11.93","81.15","1188","940","705","325","44","91","105","47","45","1","1","52","130","107","361","270","93","63","92","40.65"
"354","Bo Horvat","NYI, VAN","C","241","4860.9166666667","99","96","58","38","195","61.71","720","13.75","84.34","1234","1000","785","327","35","111","73","31","29","1","1","44","172","95","218","198","131","2490","1933","56.30"
"37","Claude Giroux","OTT","R","245","4663.45","71","122","75","47","193","69.18","535","13.27","54.28","940","729","484","216","49","66","78","39","39","0","0","57","144","124","179","145","98","1980","1369","59.12"
"395","Jared McCann","SEA","L","241","4042.9666666667","91","102","65","37","193","72.56","628","14.49","61.27","1254","917","565","187","43","89","63","30","29","1","0","77","123","127","157","194","100","282","347","44.83"
"105","Victor Hedman","T.B","D","233","5560.6833333333","37","154","81","73","191","48.85","534","6.93","36.86","1275","856","387","54","33","103","148","58","54","0","4","29","252","102","199","254","256","0","0","-"
"755","Evan Bouchard","EDM","D","245","5304.7","40","149","50","99","189","45.54","611","6.55","34.28","1412","847","412","43","23","97","92","46","46","0","0","42","283","180","197","315","276","0","0","-"
"44","Jamie Benn","DAL","L","244","3758.1833333333","70","117","65","52","187","66.31","490","14.29","67.91","881","671","536","296","24","85","145","57","51","5","1","56","139","117","321","206","127","1252","854","59.45"
"316","Pavel Buchnevich","STL","L","219","4257.5166666667","73","114","70","44","187","62.75","475","15.37","66.38","912","708","574","258","44","77","107","44","41","1","2","35","151","97","141","169","81","226","422","34.88"
"29","Brad Marchand","BOS, FLA","L","226","4219.9166666667","73","112","70","42","185","66.31","584","12.50","74.96","1104","825","635","263","43","83","216","101","98","2","1","119","250","111","277","279","89","51","74","40.80"
"141","Mats Zuccarello","MIN","R","216","4234.9666666667","53","131","85","46","184","63.67","522","10.15","49.9","1009","746","499","163","29","104","78","39","39","0","0","67","159","112","109","194","139","65","102","38.92"
"80","Roman Josi","NSH","D","202","5032.6666666667","50","132","78","54","182","56.17","687","7.28","44.44","1512","970","527","94","23","125","99","48","47","1","0","39","164","80","139","289","372","0","0","-"
"145","Tyler Toffoli","CGY, N.J, S.J, WPG","C, R","239","4022.45","97","85","46","39","182","62.12","730","13.29","86.12","1320","1014","729","288","45","118","56","26","26","0","0","45","115","91","188","167","55","47","60","43.93"
"235","Jonathan Marchessault","NSH, VGK","C, R","236","4172.25","91","91","52","39","182","67.91","706","12.89","77.29","1297","952","675","252","47","110","98","46","44","2","0","30","156","97","260","249","64","44","103","29.93"
"392","Nick Schmaltz","ARI, UTA","C","224","4280.9666666667","64","118","60","58","182","64.08","477","13.42","59.12","965","705","566","215","27","87","44","22","22","0","0","39","201","158","42","181","111","389","487","44.41"
"474","Brock Boeser","VAN","R","230","4144.75","83","95","53","42","178","57.79","527","15.75","74.04","1032","762","645","287","21","90","54","26","26","0","0","19","79","69","181","98","90","51","86","37.23"
"1058","Wyatt Johnston","DAL","C","246","4215.6166666667","89","88","60","28","177","69.69","578","15.40","81.93","1079","813","740","365","28","117","72","36","36","0","0","37","143","115","119","279","116","928","950","49.41"
"955","Seth Jarvis","CAR","C","236","4260.4166666667","79","94","58","36","173","59.04","569","13.88","85.49","1035","831","695","380","35","95","42","21","21","0","0","53","130","112","280","498","144","218","312","41.13"
"459","Timo Meier","N.J, S.J","R","227","4155.55","94","77","45","32","171","65.77","774","12.14","89.22","1542","1168","841","350","46","153","146","55","48","4","3","63","167","114","403","324","112","73","100","42.20"
"865","Cole Caufield","MTL","R","210","3905","91","80","47","33","171","62.87","712","12.78","78.04","1290","1016","654","226","39","100","32","16","16","0","0","49","120","75","139","193","65","13","18","41.94"
"522","Troy Terry","ANA","R","223","4197.0166666667","64","106","60","46","170","72.34","548","11.68","65.52","1074","826","630","249","27","96","66","32","32","0","0","87","139","110","36","269","79","20","32","38.46"
"217","Jonathan Huberdeau","CGY","C, L","241","4326.35","55","114","75","39","169","65.76","422","13.03","57.14","779","600","498","227","36","56","117","53","51","1","1","66","216","109","175","200","125","33","52","38.82"
"592","Pierre-Luc Dubois","L.A, WPG, WSH","C, L","237","4053.0666666667","63","106","62","44","169","62.36","493","12.78","75.7","954","766","633","337","23","88","223","101","98","1","2","97","142","76","232","346","143","1500","1535","49.42"
"171","Mikael Granlund","DAL, NSH, PIT, S.J","C","231","4467.4833333333","44","123","75","48","167","66.80","424","10.38","51","806","602","428","182","28","76","80","40","40","0","0","45","133","106","197","333","167","1022","1138","47.31"
"173","Bryan Rust","PIT","R","214","4066.0166666667","79","88","52","36","167","61.62","597","13.23","80.36","1042","869","684","369","33","126","69","33","32","1","0","37","156","83","207","242","150","16","19","45.71"
"233","Rickard Rakell","PIT","R","233","4231.1","78","89","39","50","167","56.80","611","12.77","85.8","1172","902","717","381","26","118","52","26","26","0","0","37","137","77","369","399","158","32","47","40.51"
"267","Chandler Stephenson","SEA, VGK","C","234","4448.3833333333","45","122","64","58","167","63.50","290","15.52","37.54","506","404","315","154","24","38","75","27","24","1","2","50","106","135","150","270","141","1986","1700","53.88"
"57","Patrick Kane","CHI, DET, NYR","R","195","3622.8666666667","62","101","55","46","163","69.07","549","11.29","49.09","971","744","468","144","16","64","44","21","21","0","0","27","168","58","46","79","52","6","9","40.00"
"452","Pavel Zacha","BOS","C","242","4291.9666666667","56","107","57","50","163","59.27","411","13.63","55.31","735","589","530","249","28","49","55","26","25","1","0","32","132","83","236","181","78","1112","991","52.88"
"257","Tomas Hertl","S.J, VGK","C","206","3879.1666666667","71","91","49","42","162","64.80","484","14.67","76.52","899","698","611","349","19","102","84","38","37","0","1","33","97","116","249","190","117","1894","1492","55.94"
"383","Nikolaj Ehlers","WPG","L","196","3095.8333333333","61","101","66","35","162","76.42","539","11.32","52.03","1153","828","484","154","26","92","57","23","20","3","0","64","120","83","104","184","79","10","26","27.78"
"858","Dylan Cozens","BUF, OTT","C","242","4096.05","65","97","63","34","162","63.28","599","10.85","69.93","1035","789","651","264","41","110","151","56","48","5","3","59","124","79","367","277","99","1676","1804","48.16"
"108","Brayden Schenn","STL","C","246","4409.2333333333","59","102","59","43","161","63.39","459","12.85","61.59","890","689","545","227","23","65","167","63","51","11","1","51","141","113","502","218","137","1544","1572","49.55"
"115","Chris Kreider","NYR","L","229","4134.1666666667","97","62","39","23","159","51.96","627","15.47","99.15","1083","922","757","505","45","97","76","38","38","0","0","26","107","63","306","135","62","100","148","40.32"
"180","Mark Stone","VGK","R","165","3190.7833333333","52","106","67","39","158","66.39","361","14.40","54.05","629","505","450","244","15","59","46","23","23","0","0","34","124","147","98","132","102","5","17","22.73"
"786","Noah Dobson","NYI","D","228","5179.1666666667","33","125","73","52","158","52.15","576","5.73","27.89","1365","857","324","43","39","92","84","42","42","0","0","24","219","107","200","433","402","0","0","-"
"163","Jeff Skinner","BUF, EDM","C, L","225","3494.0833333333","75","82","53","29","157","63.56","597","12.56","74.43","1110","827","666","294","32","121","89","35","32","1","2","61","120","97","91","154","48","216","251","46.25"
"1157","Andrei Kuzmenko","CGY, L.A, PHI, VAN","L","219","3418.8333333333","72","85","42","43","157","61.09","347","20.75","53.31","724","541","509","278","13","80","34","16","16","0","0","42","110","81","46","201","54","2","1","66.67"
"662","Casey Mittelstadt","BOS, BUF, COL","C","243","4090.25","48","108","61","47","156","59.09","367","13.08","41.38","652","498","376","160","17","48","78","34","33","0","1","28","164","114","85","302","77","1310","1553","45.76"
"350","Elias Lindholm","BOS, CGY, VAN","C","237","4451.5166666667","54","101","55","46","155","61.02","512","10.55","71.67","951","752","579","284","24","96","53","25","24","1","0","39","102","104","299","170","187","2369","1879","55.77"
"767","Andrei Svechnikov","CAR","R","195","3389.0666666667","62","93","54","39","155","63.27","529","11.72","70.26","1094","818","572","238","30","110","188","86","83","2","1","62","191","77","430","269","60","9","12","42.86"
"497","Joel Eriksson Ek","MIN","C","201","3971.45","67","87","46","41","154","54.80","655","10.23","92.79","1039","884","656","434","34","113","126","58","57","0","1","66","65","95","369","273","137","1888","1967","48.98"
"100","Ryan O'Reilly","NSH, STL, TOR","C","214","4071.65","63","89","40","49","152","57.79","433","14.55","66.73","727","605","556","307","18","84","58","26","24","2","0","34","104","141","63","148","149","2073","1697","54.99"
"683","Miro Heiskanen","DAL","D","200","5014.1833333333","25","127","61","66","152","46.34","476","5.25","32.01","1129","684","365","52","15","128","78","34","33","0","1","39","168","114","122","405","269","0","0","-"
